Wk#,Partner,Client,SSL,Job Dte(dd/mm/yyyy),Choice Pro#,Invoice#,Inv Dte(dd/mm/yyyy),Category,Qty,Wght,Job Time(Military hh:mm),Origin/Destination,FOB$,CIF$,AWB#,Kilo/Mile (One Way),Hndlng Base Chg,Hndlng Exc Pcs Chg,Hndlng OCPU/WC,Transp Base Chg(G Tkt),Transp Exc Mls Chg(G Tkt),Fuel Chg,Aft. Hrs/weekend/holiday,Wait Time,Secrty/Tolls Chg, 3rd Party/Freight Transp.Chg(Z Tkt) , Freight Fuel Surchg ,Cust. Clr,Duty,Imp/ Exp Vat,GST,Consump Tax,IOR Chg,Broker Chg,Cust. Storg Chg,Permit/ License Chg,K1 Form Chg,Layout Fee,Wire Chg,Labor Chg,Labor # hrs,Total Charge,Comments
49,INF52294,INFINERA,BER ,44168,G6596259,2020-1125895,0,PICK,1,,0.826388889,Leipzig DE 04299 DE,0,0,0,190,3.91,,,39.55,195.92,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,239.38,
49,INF52294,INFINERA,BER ,44168,ZAA4BY43,2020-1125895,0,IRI ,1,,0.222222222,BERLIN DE 13629 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,INF52294,INFINERA,BER ,44168,ZAA4CEGM,2020-1125895,0,IRI ,1,,0.127777778,BERLIN DE 13629 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,INF52294,INFINERA,BER ,44171,ZAA4CZZQ,2020-1125895,0,OCPU,1,,0.019444444,Middenmeer NL 1775 TB NL,0,0,0,     ,3.91,,,,,,,,0,5.15,0.1545,0,0,0,0,0,0,0,0,0,0,0,0,,0,9.2145,
49,INF52413,EMEA DEP,BER ,44166,ZAA4CMKN,2020-1125895,0,IRI ,1,,0.402777778,BERLIN DE 13629 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,INF52413,EMEA DEP,BER ,44166,ZAA4CPK4,2020-1125895,0,WCOC,1,,0.403472222,BERLIN DE,0,0,0,     ,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,PAR52372,PPT EURO,BER ,44166,ZAA4CL8S,2020-1125895,0,IRP ,6,,0.270833333,BERLIN DE 13629 DE,0,0,0,0,23.46,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,23.46,
49,INF52294,INFINERA,DUS ,44169,G6596397,2020-1125895,0,PICK,1,,0.359722222,FRANKFURT DE 60326 DE,0,0,0,217,3.91,,,39.55,229.4,,82.4,42.66,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,397.92,
49,INF52294,INFINERA,DUS ,44169,G6596397,2020-1125895,0,PICK,1,,0.359722222,DUSSELDORF DE 40589 DE,0,0,0,217,3.91,,,39.55,229.4,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,272.86,turnaround G6596397
49,INF52413,EMEA DEP,DUS ,44169,ZAA4CVUZ,2020-1125895,0,IRI ,1,,0.281944444,DUSSELDORF DE 40589 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
